City,Time_Date,Suscept,Infect,newInfect,Observed
"Albany, NY",2013-09-29,58048.221,3.6124,7.2255,46.519
"Albany, NY",2013-10-06,58390.988,6.715,15.566,26.5956
"Albany, NY",2013-10-13,58551.617,12.8887,30.6824,30.2967
"Albany, NY",2013-10-20,58601.097,14.5575,28.2097,23.7609
"Albany, NY",2013-10-27,58390.654,19.9976,39.0911,33.1015
"Albany, NY",2013-11-03,58697.133,33.2958,63.8669,65.8537
"Albany, NY",2013-11-10,59561.046,55.8592,101.5511,111.9702
"Albany, NY",2013-11-17,59122.438,75.4948,139.6249,133.5986
"Albany, NY",2013-11-24,58769.243,89.7941,151.9174,145.5772
"Albany, NY",2013-12-01,60571.205,149.2839,237.4518,273.7221
"Albany, NY",2013-12-08,61095.392,247.8036,468.3025,489.3945
"Albany, NY",2013-12-15,60096.882,345.2486,604.7049,585.302
"Albany, NY",2013-12-22,61816.027,934.4012,1334.636,1427.2332
"Albany, NY",2013-12-29,59966.665,1599.8595,2170.4971,2172.1595
"Albany, NY",2014-01-05,59460.204,2755.5277,3725.5357,3802.0846
"Albany, NY",2014-01-12,53155.098,3158.0647,4241.1822,3665.4759
"Albany, NY",2014-01-19,42834.107,2416.2792,3933.4176,3639.0878
"Albany, NY",2014-01-26,35475.451,1645.3554,2836.8862,2650.801
"Albany, NY",2014-02-02,33871.469,1339.0438,2161.3038,2177.6037
"Albany, NY",2014-02-09,32937.288,1070.6862,1743.5079,1782.6326
"Albany, NY",2014-02-16,31676.475,725.5796,1178.6747,1141.931
"Albany, NY",2014-02-23,32562.139,673.4771,873.0404,1164.4672
"Albany, NY",2014-03-02,35035.412,553.8657,769.943,1004.5664
"Albany, NY",2014-03-09,38090.155,512.0548,663.9819,1073.8983
"Albany, NY",2014-03-16,39783.81,490.767,652.5195,1118.006
"Albany, NY",2014-03-23,42374.599,513.8146,712.1119,1323.503
"Albany, NY",2014-03-30,47684.53,467.8221,799.3592,1192.1162
"Albany, NY",2014-04-06,51251.441,483.2723,984.1426,1206.1069
"Albany, NY",2014-04-13,52927.656,543.1252,1236.3539,1366.7071
"Albany, NY",2014-04-20,49389.304,516.9301,1019.3168,937.863
"Albany, NY",2014-04-27,48872.659,457.5327,871.0088,859.5767
"Albany, NY",2014-05-04,48003.309,339.7422,679.9947,625.7373
"Albany, NY",2014-05-11,47464.37,180.7017,414.9492,327.9242
"Albany, NY",2013-09-29,14071.372,7.3344,15.9024,46.519
"Albany, NY",2013-10-06,14371.213,18.6289,52.9127,26.5956
"Albany, NY",2013-10-13,14563.213,33.6048,91.8566,30.2967
"Albany, NY",2013-10-20,14717.617,31.6233,64.5634,23.7609
"Albany, NY",2013-10-27,14442.471,35.1403,76.0308,33.1015
"Albany, NY",2013-11-03,14147.779,42.773,79.2001,65.8537
"Albany, NY",2013-11-10,13759.12,50.3262,77.5216,111.9702
"Albany, NY",2013-11-17,13333.798,63.6999,84.7806,133.5986
"Albany, NY",2013-11-24,13046.994,69.5141,79.6166,145.5772
"Albany, NY",2013-12-01,12921.478,75.011,78.7747,273.7221
"Albany, NY",2013-12-08,13094.773,110.0921,91.7066,489.3945
"Albany, NY",2013-12-15,13368.297,170.9047,102.1021,585.302
"Albany, NY",2013-12-22,13605.227,199.2579,109.5316,1427.2332
"Albany, NY",2013-12-29,13299.298,330.2621,143.5916,2172.1595
"Albany, NY",2014-01-05,13022.514,556.3548,197.9032,3802.0846
"Albany, NY",2014-01-12,13309.316,919.7554,302.5198,3665.4759
"Albany, NY",2014-01-19,12559.026,946.1834,405.5596,3639.0878
"Albany, NY",2014-01-26,10930.077,807.4948,466.928,2650.801
"Albany, NY",2014-02-02,10267.956,596.295,416.573,2177.6037
"Albany, NY",2014-02-09,9955.361,487.0853,335.3373,1782.6326
"Albany, NY",2014-02-16,9953.878,392.927,245.1879,1141.931
"Albany, NY",2014-02-23,10157.199,287.108,162.8086,1164.4672
"Albany, NY",2014-03-02,10123.105,235.76,122.6622,1004.5664
"Albany, NY",2014-03-09,10272.925,198.778,89.4777,1073.8983
"Albany, NY",2014-03-16,10518.868,181.2104,80.826,1118.006
"Albany, NY",2014-03-23,10759.328,172.138,82.5224,1323.503
"Albany, NY",2014-03-30,10687.91,170.1295,104.5727,1192.1162
"Albany, NY",2014-04-06,10513.756,187.5087,142.1663,1206.1069
"Albany, NY",2014-04-13,10437.815,221.2545,162.7844,1366.7071
"Albany, NY",2014-04-20,9976.208,258.7868,174.6914,937.863
"Albany, NY",2014-04-27,10216.913,245.2827,144.343,859.5767
"Albany, NY",2014-05-04,10365.509,221.3887,122.0883,625.7373
"Albany, NY",2014-05-11,10607.965,174.3125,102.1892,327.9242
"Albany, NY",2014-05-18,47615.228,128.0015,240.1802,NA
"Albany, NY",2014-05-25,47848.473,88.1751,155.4409,NA
"Albany, NY",2014-06-01,48132.954,60.1832,101.3011,NA
"Albany, NY",2014-06-08,48447.607,41.8361,67.8749,NA
"Albany, NY",2014-06-15,48781.507,28.8293,45.1708,NA
"Albany, NY",2014-06-22,49126.413,20.0108,30.5874,NA
"Albany, NY",2014-06-29,49476.289,14.3168,21.9789,NA
"Albany, NY",2014-07-06,49828.292,10.4068,16.1966,NA
"Albany, NY",2014-07-13,50180.327,7.8272,12.5133,NA
"Albany, NY",2014-07-20,50531.305,5.993,9.9409,NA
"Albany, NY",2014-07-27,50880.231,4.8057,8.3933,NA
"Albany, NY",2014-08-03,51226.61,3.9911,7.3778,NA
"Albany, NY",2014-08-10,51570.103,3.4652,6.7417,NA
"Albany, NY",2014-08-17,51910.474,3.1171,6.3857,NA
"Albany, NY",2014-08-24,52247.37,2.9905,6.4279,NA
"Albany, NY",2014-08-31,52580.878,2.8908,6.4318,NA
"Albany, NY",2014-09-07,52910.704,2.9342,6.777,NA
"Albany, NY",2014-09-14,53236.706,3.0834,7.3154,NA
"Albany, NY",2014-09-21,53558.445,3.4085,8.3464,NA
"Albany, NY",2014-09-28,53875.072,4.1514,10.2882,NA
"Albany, NY",2014-05-18,10603.241,138.572,122.3793,NA
"Albany, NY",2014-05-25,10598.7,107.0991,92.4218,NA
"Albany, NY",2014-06-01,10592.76,81.3306,72.6132,NA
"Albany, NY",2014-06-08,10586.134,61.8864,58.4284,NA
"Albany, NY",2014-06-15,10578.769,46.2739,45.9404,NA
"Albany, NY",2014-06-22,10571.862,34.3966,36.247,NA
"Albany, NY",2014-06-29,10566.636,25.8502,29.222,NA
"Albany, NY",2014-07-06,10563.44,19.4245,23.4597,NA
"Albany, NY",2014-07-13,10562.652,14.7731,19.0126,NA
"Albany, NY",2014-07-20,10564.324,11.2318,15.3815,NA
"Albany, NY",2014-07-27,10568.545,8.7127,12.6558,NA
"Albany, NY",2014-08-03,10575.209,6.8615,10.5355,NA
"Albany, NY",2014-08-10,10584.188,5.5444,8.9635,NA
"Albany, NY",2014-08-17,10595.309,4.6115,7.897,NA
"Albany, NY",2014-08-24,10608.382,4.106,7.4792,NA
"Albany, NY",2014-08-31,10623.178,3.8218,7.5237,NA
"Albany, NY",2014-09-07,10639.467,3.9366,8.4409,NA
"Albany, NY",2014-09-14,10656.962,4.5157,10.4047,NA
"Albany, NY",2014-09-21,10675.248,5.8864,14.3755,NA
"Albany, NY",2014-09-28,10693.642,9.0306,22.4823,NA
"Albany, NY",2013-09-29,57925.122,3.2045,6.206,46.519
"Albany, NY",2013-10-06,58245.7,5.2348,11.2772,26.5956
"Albany, NY",2013-10-13,58570.86,13.6386,32.7654,30.2967
"Albany, NY",2013-10-20,58739.598,16.0652,31.3768,23.7609
"Albany, NY",2013-10-27,58779.003,23.4403,47.269,33.1015
"Albany, NY",2013-11-03,58560.889,31.6651,60.5385,65.8537
"Albany, NY",2013-11-10,58831.134,47.0291,85.9903,111.9702
"Albany, NY",2013-11-17,59617.542,83.5231,154.5041,133.5986
"Albany, NY",2013-11-24,59169.89,96.7609,162.2844,145.5772
"Albany, NY",2013-12-01,58791.744,110.4987,183.0146,273.7221
"Albany, NY",2013-12-08,60367.561,216.3337,390.1329,489.3945
"Albany, NY",2013-12-15,60535.823,399.6771,748.1491,585.302
"Albany, NY",2013-12-22,59490.507,484.4336,790.9662,1427.2332
"Albany, NY",2013-12-29,59859.801,1594.8999,2160.085,2172.1595
"Albany, NY",2014-01-05,56761.364,2559.1353,3418.0118,3802.0846
