"Time";"S";"I";"R"
1;0.999999;1e-06;0
2;0.999998070303287;1.66406866301864e-06;2.65628050215661e-07
3;0.999996530838636;2.76368500987194e-06;7.05476354411555e-07
4;0.999993978304385;4.58692009975989e-06;1.4347755155529e-06
5;0.999989741947932;7.61287859117277e-06;2.64517347710282e-06
6;0.99998271080516;1.26350942392848e-05;4.65410060027514e-06
7;0.999971041359147;2.09703315380695e-05;7.98830931497106e-06
8;0.999951674143946;3.48038313263495e-05;1.35220247275772e-05
9;0.999919532159135;5.77617687520395e-05;2.27060721130737e-05
10;0.999866191401242;9.58605897216263e-05;3.79480090364845e-05
11;0.999779826286957;0.000157545523554028;6.26281894887801e-05
12;0.99963645344087;0.000259942464060273;0.000103604095070107
13;0.999399705098698;0.000429015054956446;0.000171279846345294
14;0.999009418482281;0.000707700418363356;0.000282881099355698
15;0.998367566290584;0.00116592320153891;0.000466510507876844
16;0.997310245771831;0.00192049189863569;0.000769262329532791
17;0.995572904654467;0.00315966652850158;0.00126742881703146
18;0.992723871305121;0.00518987906684669;0.00208624962803251
19;0.988068066182086;0.00850249873689375;0.00342943508101999
20;0.980508178540752;0.0138678876610578;0.00562393379819002
21;0.968342893924063;0.0224659813968162;0.00919112467912129
22;0.949058743841305;0.0360025509361719;0.0149387052225238
23;0.919206338835602;0.0567226164032669;0.024071044761131
24;0.874633756091996;0.0870932608713872;0.0382729830366165
25;0.811527685495636;0.128802818501724;0.0596694960026406
26;0.728513164333672;0.180985248727534;0.0905015869387938
27;0.629081553851689;0.238491381672211;0.1324270644761
28;0.522171975418421;0.292183530350495;0.185644494231084
29;0.419212238038781;0.332395109112586;0.248392652848633
30;0.329373172092237;0.353323231131464;0.317303596776299
31;0.256801483953865;0.354783934525374;0.388414581520762
32;0.201167962381802;0.34065734105064;0.458174696567557
33;0.159776492454305;0.316231716656655;0.52399179088904
34;0.129370101209419;0.286325132812064;0.584304765978517
35;0.107055029000523;0.254545125981276;0.6383998450182
36;0.0905757721393193;0.223265698902329;0.686158528958351
37;0.0782822803356808;0.193883326540142;0.727834393124177
38;0.0690021824882791;0.167110704429407;0.763887113082314
39;0.0619108166660111;0.143217758608817;0.794871424725171
40;0.0564278506473429;0.122205444240407;0.82136670511225
41;0.0521420888044269;0.103922196122472;0.8439357150731
42;0.0487587716938638;0.0881391393689488;0.863102088937187
43;0.0460647833042198;0.0745947820531971;0.879340434642583
44;0.0439032594567931;0.0630250650968934;0.893071675446313
45;0.04215741520027;0.0531773537381122;0.904665231061617
46;0.0407392516731962;0.0448188904378386;0.914441857888965
47;0.0395816234890399;0.0377403232820306;0.922678053228929
48;0.0386327256153284;0.0317563700979448;0.929610904286727
49;0.0378521631354058;0.0267050963448152;0.935442740519779
50;0.0372081406920934;0.0224461364720926;0.940345722835814
51;0.036675420310717;0.0188586542188727;0.94446592547041
52;0.0362338186590634;0.0158391612501936;0.947927020090743
53;0.0358670854215692;0.0132993719535737;0.950833542624857
54;0.0355620605822398;0.0111642177375845;0.953273721680175
55;0.0353080363536707;0.00937002635102902;0.9553219372953
56;0.0350962557140247;0.00786290019421553;0.95704084409176
57;0.0349195315967238;0.00659729393850328;0.958483174464773
58;0.0347719478275179;0.00553477225437506;0.959693279918107
59;0.034648620042569;0.0046429351390324;0.960708444818398
60;0.0345455059422194;0.00389449506883237;0.961559998988948
61;0.034459253313254;0.00326648748992527;0.96227425919682
62;0.0343870774229713;0.00273959792011913;0.962873324656909
63;0.0343266615735177;0.0022975901447853;0.963375748281697
64;0.034276076054452;0.00192682142683114;0.963797102518716
65;0.0342337118200813;0.00161583230264559;0.964150455877273
66;0.0341982260211902;0.00135500003022647;0.964446773948583
67;0.0341684971333221;0.00113624618722956;0.964695256679448
68;0.0341435878924302;0.000952790221114154;0.964903621886455
69;0.0341227146093051;0.000798941910660396;0.965078343480034
70;0.0341052217153315;0.000669926721806249;0.965224851562862
71;0.0340905606125214;0.000561738932137419;0.965347700455341
72;0.0340782720361738;0.000471017876837787;0.965450710086988
73;0.0340679713016147;0.000394943623994926;0.96553708507439
74;0.0340593366515512;0.000331153831507998;0.96560950951694
75;0.0340520983650487;0.000277665732951458;0.965670235901999
76;0.0340460304072041;0.00023281595203407;0.965721153640761
77;0.0340409434165062;0.000195209745595961;0.965763846837897
78;0.0340366787089179;0.00016367744936893;0.965799643841712
79;0.0340331032977157;0.000137238198464528;0.965829658503819
80;0.0340301057252042;0.000115069485483258;0.965854824789312
81;0.0340275925692811;9.64815928584569e-05;0.96587592583786
82;0.034025485796127;8.08981953174836e-05;0.965893616008555
83;0.0340237195788879;6.78329758226399e-05;0.965908447445289
84;0.0340222386550124;5.68775609854652e-05;0.965920883784002
85;0.03402099695149;4.76914075317061e-05;0.965931311640978
86;0.0340199558292806;3.99888667714493e-05;0.965940055303947
87;0.0340190828813501;3.35303249199578e-05;0.965947386793729
88;0.0340183509392942;2.81148761933535e-05;0.965953534184512
