Date;A (2009 H1N1);A (H3);A (Subtyping not Performed);B;H3N2v;TOTAL SPECIMENS;PERCENT POSITIVE
2010-10-10;7;18;29;23;0;3600;2.13889
2010-10-17;13;36;43;36;0;4006;3.19521
2010-10-24;8;35;51;45;0;4112;3.38035
2010-10-31;13;56;45;52;0;4240;3.91509
2010-11-07;12;61;68;106;0;4608;5.36024
2010-11-14;15;79;93;163;0;5377;6.50921
2010-11-21;23;123;104;237;0;5578;8.73073
2010-11-28;11;155;156;265;0;5533;10.6091
2010-12-05;35;176;126;260;0;5975;9.99163
2010-12-12;48;359;126;310;0;6361;13.2526
2010-12-19;83;551;274;542;0;7692;18.8508
2010-12-26;112;789;456;689;0;8172;25.0367
2011-01-02;197;1015;512;648;0;9030;26.268
2011-01-09;346;1159;551;572;0;10441;25.17
2011-01-16;557;1216;626;585;0;10190;29.2836
2011-01-23;832;1437;700;741;0;11067;33.5231
2011-01-30;1074;1524;877;972;0;12950;34.3398
2011-02-06;1231;1481;1073;1127;0;13875;35.4018
2011-02-13;1267;1488;1145;1177;0;14647;34.6624
2011-02-20;1432;1570;1360;1354;0;16401;34.8515
2011-02-27;1170;1235;1048;1204;0;15033;30.9785
2011-03-06;954;997;738;884;0;12990;27.5058
2011-03-13;714;858;503;691;0;11625;23.7935
2011-03-20;457;609;371;563;0;9860;20.284
2011-03-27;264;426;265;406;0;8443;16.1199
2011-04-03;168;283;166;293;0;7107;12.8043
2011-04-10;87;208;87;254;0;6481;9.8133
2011-04-17;46;141;54;159;0;5615;7.12378
2011-04-24;30;60;29;86;0;4642;4.4162
2011-05-01;10;28;32;63;0;3976;3.34507
2011-05-08;11;23;10;25;0;3611;1.91083
2011-05-15;2;11;8;15;0;3271;1.10058
2011-05-22;3;6;4;13;0;3079;0.84443
2011-05-29;3;4;6;5;0;2705;0.665434
2011-06-05;2;0;5;6;0;2442;0.532351
2011-06-12;0;0;2;4;0;2259;0.265604
2011-06-19;2;1;6;0;0;2109;0.426743
2011-06-26;0;0;2;3;0;1967;0.254194
2011-07-03;2;0;1;1;0;1560;0.25641
2011-07-10;2;1;1;1;0;1498;0.333778
2011-07-17;0;4;1;4;0;1500;0.6
2011-07-24;0;4;1;5;0;1500;0.666667
2011-07-31;0;1;2;1;0;1307;0.306044
2011-08-07;3;2;3;3;0;1428;0.770308
2011-08-14;1;3;7;2;0;1433;0.907188
2011-08-21;2;5;5;3;0;1506;1.06242
2011-08-28;0;5;6;6;0;1705;0.997067
2011-09-04;2;3;9;1;0;1925;0.779221
2011-09-11;1;3;7;2;0;2056;0.632296
2011-09-18;0;6;11;4;0;2326;0.902837
2011-09-25;0;5;8;8;0;2612;0.803982
2011-10-02;1;18;10;6;0;2920;1.19863
2011-10-09;3;14;7;9;0;3192;1.03383
2011-10-16;0;9;2;8;0;3316;0.572979
2011-10-23;2;10;8;8;0;3425;0.817518
2011-10-30;0;12;20;12;0;3749;1.17365
2011-11-06;1;17;12;9;0;4075;0.957055
2011-11-13;2;15;17;15;0;4326;1.13269
2011-11-20;0;15;17;12;0;4580;0.960699
2011-11-27;3;23;30;19;0;4108;1.82571
2011-12-04;2;32;21;17;0;4669;1.54209
2011-12-11;5;38;45;20;0;4710;2.29299
2011-12-18;4;78;31;20;0;4906;2.71097
2011-12-25;7;104;62;24;0;5151;3.8245
2012-01-01;4;107;53;18;0;5470;3.32724
2012-01-08;16;101;44;22;0;5690;3.21617
2012-01-15;31;142;47;15;0;5341;4.39993
2012-01-22;50;195;57;18;0;5364;5.9657
2012-01-29;84;257;100;32;0;5840;8.09932
2012-02-05;128;365;144;43;0;6251;10.8783
2012-02-12;167;419;167;56;0;6413;12.615
2012-02-19;233;508;271;71;0;7298;14.8397
2012-02-26;319;690;356;78;0;7596;18.9968
2012-03-04;488;988;433;112;0;8485;23.8185
2012-03-11;538;1232;491;123;0;8459;28.183
2012-03-18;599;1396;516;199;0;8822;30.7187
2012-03-25;445;1086;427;237;0;7974;27.527
2012-04-01;311;719;332;244;0;7450;21.557
2012-04-08;266;629;308;275;0;6695;22.0762
2012-04-15;188;591;212;298;0;6304;20.4473
2012-04-22;119;540;201;314;0;5689;20.6363
2012-04-29;74;361;151;274;0;4980;17.2691
2012-05-06;53;299;119;252;0;4522;15.9885
2012-05-13;33;229;88;266;0;4061;15.1687
2012-05-20;23;162;69;254;0;3811;13.3298
2012-05-27;11;76;69;260;0;3729;11.1558
2012-06-03;3;78;56;228;0;3347;10.9053
2012-06-10;7;45;44;197;0;3055;9.59083
2012-06-17;2;52;56;179;0;2898;9.97239
2012-06-24;2;36;30;103;0;2529;6.76157
2012-07-01;0;17;22;113;0;2255;6.74058
2012-07-08;1;15;18;59;0;1970;4.72081
2012-07-15;4;33;15;41;1;2052;4.5809
2012-07-22;0;18;11;48;0;2100;3.66667
2012-07-29;2;49;13;32;9;2048;5.12695
2012-08-05;1;65;11;33;95;2161;9.48635
2012-08-12;1;62;12;25;73;2294;7.54141
2012-08-19;6;69;14;27;52;2501;6.71731
2012-08-26;6;48;21;23;15;2705;4.17745
2012-09-02;1;37;15;19;12;2746;3.05899
2012-09-09;1;34;17;32;5;2914;3.05422
2012-09-16;0;16;11;44;2;3280;2.22561
2012-09-23;5;43;18;42;0;3501;3.08483
2012-09-30;7;42;18;64;0;3649;3.59002
2012-10-07;9;73;11;78;0;4513;3.78905
2012-10-14;7;67;24;95;0;4914;3.92755
2012-10-21;4;131;48;122;0;5249;5.81063
2012-10-28;3;152;52;141;0;5306;6.55861
2012-11-04;4;188;79;154;0;5406;7.86164
2012-11-11;5;277;116;231;0;6446;9.75799
2012-11-18;8;404;217;267;2;6721;13.3611
2012-11-25;7;591;407;364;0;7433;18.4179
2012-12-02;19;1022;545;503;0;9333;22.3829
2012-12-09;39;1787;1003;693;0;12060;29.204
2012-12-16;53;2662;1226;856;0;14711;32.6083
2012-12-23;55;3703;1419;1154;0;16904;37.4527
2012-12-30;88;3825;1758;1199;0;18139;37.8742
2013-01-13;95;3723;1980;1146;0;19673;35.2971
2013-01-20;126;4073;2166;1237;0;22224;34.2063
2013-01-27;127;3232;1892;1142;0;20931;30.5432
2013-02-03;145;2527;1660;1189;0;18668;29.5747
2013-02-10;143;1952;1051;1158;0;16228;26.5221
2013-02-17;121;1205;780;1188;0;14491;22.7314
2013-02-24;78;844;534;1194;0;12691;20.8809
2013-03-03;78;575;397;1225;0;11354;20.037
2013-03-10;60;417;309;1181;0;10504;18.7262
2013-03-17;70;330;217;1204;0;10165;17.9144
2013-03-24;49;212;201;1155;0;9559;16.916
2013-03-31;36;179;144;1017;0;8647;15.913
2013-04-07;41;124;98;853;0;7722;14.4522
2013-04-14;30;121;107;687;0;6782;13.9339
2013-04-21;48;69;65;489;0;6198;10.8261
2013-04-28;30;79;47;332;0;5575;8.75336
2013-05-05;34;60;48;249;0;5095;7.67419
2013-05-12;18;55;29;222;0;4919;6.5867
2013-05-19;13;36;27;166;0;4473;5.41024
2013-05-26;11;24;22;126;0;4102;4.46124
2013-06-02;15;21;20;123;0;4097;4.36905
2013-06-09;14;14;28;95;0;3587;4.20965
2013-06-16;14;13;29;82;0;3576;3.85906
2013-06-23;21;12;32;63;0;3254;3.93362
2013-06-30;29;12;31;55;2;3227;3.99752
2013-07-07;34;5;24;28;6;2999;3.23441
2013-07-14;17;14;24;25;4;2579;3.25708
2013-07-21;23;30;33;14;0;2653;3.76932
2013-07-28;21;13;25;14;1;2504;2.95527
2013-08-04;20;11;26;10;1;2316;2.9361
2013-08-11;23;14;30;20;2;2549;3.49157
2013-08-18;28;11;27;12;0;2494;3.12751
2013-08-25;16;3;33;12;0;2304;2.77778
2013-09-01;12;4;40;3;1;2560;2.34375
2013-09-08;42;4;66;10;1;3006;4.09182
2013-09-15;25;6;71;13;0;3148;3.65311
2013-09-22;49;7;59;7;0;3602;3.38701
2013-09-29;38;8;56;22;0;3888;3.1893
2013-10-06;55;11;102;20;0;4596;4.09051
2013-10-13;69;13;83;28;1;4911;3.95032
2013-10-20;57;24;116;32;0;5808;3.94284
2013-10-27;49;16;94;26;0;5801;3.18911
2013-11-03;73;21;100;14;0;5886;3.53381
2013-11-10;88;26;136;43;0;6316;4.63901
2013-11-17;157;29;171;43;0;6945;5.75954
2013-11-24;272;21;188;37;0;7203;7.19145
2013-12-01;425;22;213;57;0;7839;9.14657
2013-12-08;496;29;331;42;0;7433;12.0813
2013-12-15;1023;34;593;69;0;10169;16.9043
2013-12-22;1324;56;821;52;0;10837;20.7899
2013-12-29;2231;51;1606;67;0;14015;28.2198
2014-01-05;3004;47;1749;93;0;15748;31.0706
2014-01-12;3477;84;1538;88;0;17779;29.1749
2014-01-19;3544;106;1316;91;0;18253;27.705
2014-01-26;3263;126;1160;131;0;17480;26.7735
2014-02-02;2643;132;1042;185;0;16468;24.3017
2014-02-09;1945;94;776;175;0;14618;20.4542
2014-02-16;1571;130;557;219;0;12995;19.0612
2014-02-23;1133;102;489;227;0;11892;16.406
2014-03-02;840;93;337;248;0;11127;13.6425
2014-03-09;581;102;261;274;0;10252;11.8806
2014-03-16;413;102;207;301;0;9441;10.8357
2014-03-23;351;138;163;334;0;8922;11.0513
2014-03-30;212;164;190;464;0;8216;12.5365
2014-04-06;156;184;188;525;0;7905;13.3207
2014-04-13;116;236;146;595;0;7531;14.5133
2014-04-20;55;227;168;624;0;7179;14.9603
2014-04-27;36;222;138;516;0;6648;13.7184
2014-05-04;35;191;129;469;0;6317;13.0442
2014-05-11;13;151;131;447;0;5865;12.6513
2014-05-18;9;130;104;354;0;5436;10.9823
2014-05-25;8;119;102;322;0;5315;10.3669
2014-06-01;4;105;62;236;0;4833;8.42127
2014-06-08;3;115;80;225;0;4757;8.89216
2014-06-15;3;97;51;160;0;4310;7.21578
2014-06-22;3;101;50;140;0;4140;7.10145
2014-06-29;3;69;43;113;0;3877;5.88084
2014-07-06;1;45;28;100;0;3434;5.06698
2014-07-13;2;47;26;83;0;3144;5.02545
2014-07-20;3;55;29;66;0;3057;5.00491
2014-07-27;0;41;19;61;0;3188;3.79548
2014-08-03;2;37;28;50;0;3127;3.74161
2014-08-10;2;53;25;27;0;2939;3.64069
2014-08-17;5;44;15;23;1;2973;2.95997
2014-08-24;1;54;21;36;0;3270;3.42508
2014-08-31;3;45;19;42;1;3339;3.2944
2014-09-07;6;62;26;42;0;3973;3.42311
2014-09-14;7;44;32;34;0;4227;2.76792
2014-09-21;1;66;33;31;0;5324;2.46056
2014-09-28;6;81;31;53;0;5681;3.01003
2014-10-05;1;87;51;65;0;5905;3.4547
2014-10-12;2;100;97;110;0;9567;3.22985
2014-10-19;5;125;149;160;0;11036;3.97789
2014-10-26;7;226;186;164;1;11729;4.97911
2014-11-02;5;212;200;127;0;11385;4.77822
2014-11-09;4;295;292;135;0;11525;6.29935
2014-11-16;6;506;489;155;0;12918;8.94875
2014-11-23;8;632;629;147;0;13776;10.2787
2014-11-30;5;1001;1233;163;0;16166;14.8583
2014-12-07;8;1538;1878;200;0;18504;19.585
2014-12-14;13;2581;2483;249;0;23064;23.0923
2014-12-21;6;3814;4047;315;0;29214;28.0071
2014-12-28;4;4972;6163;325;0;37109;30.8928
2015-01-04;10;5498;7847;392;0;42466;32.3718
2015-01-11;10;5292;5695;409;0;41579;27.4321
2015-01-11;10;4901;3955;372;0;38494;23.9985
2015-01-18;8;4584;3580;473;0;35593;24.2885
2015-01-25;4;3917;3513;548;0;34191;23.3453
2015-02-01;10;3475;2789;606;0;32001;21.4993
2015-02-08;10;2719;2170;723;0;29578;19.0074
2015-02-15;7;1744;1575;869;0;26986;15.5451
2015-02-22;10;1242;1108;1009;0;24292;13.8688
2015-03-01;18;954;740;1127;0;22293;12.7349
2015-03-08;5;774;557;1352;0;20419;13.1642
2015-03-15;7;458;405;1654;0;19843;12.7199
2015-03-22;2;340;302;1564;0;18418;11.9883
2015-03-29;7;227;197;1479;0;16980;11.2485
2015-04-05;4;168;119;1375;0;15123;11.0163
