Date, Variable, National, Bomi County, Bong County, Gbarpolu County, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa County, Margibi County, Maryland County, Montserrado County, Nimba County, River Gee County, RiverCess County, Sinoe County
9/17/2014,Specimens collected,,,,,,,,,,,,,,,,
9/17/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
9/17/2014,Total specimens tested,,,,,,,,,,,,,,,,
9/17/2014,Newly reported deaths,39,1,4,0,3,0,0,2,5,1,0,23,0,0,0,0
9/17/2014,Total death/s in confirmed cases,667,27,12,0,14,6,0,1,178,36,3,354,35,0,0,1
9/17/2014,Total death/s in probable cases,539,29,15,0,4,3,0,1,174,99,2,157,54,0,1,0
9/17/2014,Total death/s in suspected cases,361,0,44,0,3,5,2,0,36,67,3,183,12,6,0,0
9/17/2014,"Total death/s in confirmed, probable, suspected cases",1567,56,71,0,21,14,2,2,388,202,8,694,101,6,1,1
9/17/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
9/17/2014,Newly reported contacts,362,7,0,0,24,0,0,13,3,26,0,289,0,0,0,0
9/17/2014,Total contacts listed,10018,350,682,0,172,80,0,13,445,1601,6,6078,544,19,6,22
9/17/2014,Currently under follow-up,5489,277,226,0,81,77,0,13,291,1593,6,2588,307,4,4,22
9/17/2014,Contacts seen,5273,274,226,0,81,0,0,0,257,1593,0,2531,307,4,0,0
9/17/2014,Contacts who completed 21 day follow-up,157,0,7,0,0,0,0,0,15,0,0,92,43,0,0,0
9/17/2014,Contacts lost to follow-up,8,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0
9/17/2014,New admissions,49,0,0,0,0,0,0,0,7,0,0,42,0,0,0,0
9/17/2014,Total no. currently in Treatment Units,274,0,2,0,0,0,0,0,25,0,0,247,0,0,0,0
9/17/2014,Total discharges,24,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0
9/17/2014,Cumulative admission/isolation,274,0,2,0,0,0,0,0,25,0,0,247,0,0,0,0
9/17/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2014,Cumulative cases among HCW,171,5,26,0,3,3,0,0,20,37,0,71,7,0,0,0
9/17/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2014,Cumulative deaths among HCW,83,5,6,0,1,0,0,0,17,19,0,33,2,0,0,0
9/17/2014,New Case/s (Suspected),51,0,4,0,1,0,0,0,0,8,0,38,0,0,0,0
